ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR20","HILL-A","USTR","N",1
"USTR69","DVIT","USTR","N",1
"USTR70","DVWCT","USTR","N",1
"USTR72","UFCW-A","USTR","N",1
"USTR76","PAWCSF","USTR","N",1
"USTR81","EXCO","USTR","N",1
"USTR89","KUEA","USTR","N",1
"USTR95","WPP-A","USTR","N",1
"USTR205","NYL-TIP","USTR","N",1
"USTR303","MC-DBP","USTR","N",1
"USTR346","BLADE","USTR","N",1
"USTR402","MACON-A","USTR","N",1
"USTR415","BCH-NT","USTR","N",1
"USTR416","BCH-TIPS","USTR","N",1
"USTR486","DVHIT","USTR","N",1
"USTR683","UNM-A","USTR","N",1
"USTR765","BCH-RI","USTR","N",1
"USTR855","UNM-H","USTR","N",1
"USTR908","DOC-A","USTR","N",1
"USTR999","INOE-A","USTR","N",1
"USTR1025","TLOC-A","USTR","N",1
"USTR1055","PA-TIP","USTR","N",1
"USTR1294","SM-A","USTR","N",1
"USTR1410","PAUSTIF","USTR","N",1
"USTR1549","ALA","USTR","N",1
"USTR1590","NECA","USTR","N",1
"USTR1617","DECATUR","USTR","N",1
"USTR1708","JKNOX","USTR","N",1
"USTR1709","MARITZ","USTR","N",1
"USTR1710","GENESIS","USTR","N",1
"USTR1717","MIDTOWN","USTR","N",1
"USTR1728","GROTON","USTR","N",1
"USTR2071","LUZERNE","USTR","N",1
"USTR2139","SIBLEY","USTR","N",1
"USTR2152","NEEWBF","USTR","N",1
"USTR2157","KINKAID","USTR","N",1
"USTR2179","HILL-CA","USTR","N",1
"USTR2180","UWAY","USTR","N",1
"USTR2181","BAKERY","USTR","N",1
"USTR2243","IRONNW","USTR","N",1
"USTR2245","IRONDC","USTR","N",1
"USTR2249","DEVRO","USTR","N",1
"USTR2309","CHEPIP","USTR","N",1
"USTR2319","SIFMA","USTR","N",1
"USTR2393","SHAGG","USTR","N",1
"USTR2517","SHF","USTR","N",1
"USTR2543","LASALLE","USTR","N",1
"USTR2693","WASH","USTR","N",1
"USTR2764","SHMDS","USTR","N",1
"USTR2767","CPIPE","USTR","N",1
"USTR2855","MIDHY","USTR","N",1
"USTR2861","BIO","USTR","N",1
"USTR2892","OWENS","USTR","N",1
"USTR2911","OWENSG","USTR","N",1
"USTR2922","DOC-G","USTR","N",1
"USTR2995","NORTH","USTR","N",1
"USTR3010","PAN","USTR","N",1
"USTR3083","HILL-FL","USTR","N",1
"USTR3093","COLUMBIA","USTR","N",1
"USTR3219","UMASS","USTR","N",1
"USTR3230","GWINNETT","USTR","N",1
"USTR3327","NFLPA","USTR","N",1
"USTR3369","AMERICAN","USTR","N",1
"USTR3618","MAZDA","USTR","N",1
"USTR3699","GREER","USTR","N",1
"USTR3716","LEAR","USTR","N",1
"USTR3717","MAN","USTR","N",1
"USTR3773","LIND","USTR","N",1
"USTR3774","LSAP","USTR","N",1
"USTR3841","HICKORY","USTR","N",1
"USTR3845","GMP","USTR","N",1
"USTR3865","BLUENC","USTR","N",1
"USTR3871","NWSHEET","USTR","N",1
"USTR3906","TUNANN","USTR","N",1
"USTR3908","TUNRET","USTR","N",1
"USTR3911","PSOLVE","USTR","N",1
"USTR3915","TURKS","USTR","N",1
"USTR3920","CARDONE","USTR","N",1
"USTR4048","ROGDBP","USTR","N",1
"USTR4049","ROGEBP","USTR","N",1
"USTR4079","TRAVEL","USTR","N",1
"USTR4089","D9PEN","USTR","N",1
"USTR4090","D9WEL","USTR","N",1
"USTR4091","LOCAL142","USTR","N",1
"USTR4115","GASHER","USTR","N",1
"USTR4142","XCEL","USTR","N",1
"USTR4264","ALISAL","USTR","N",1
"USTR4265","ALIHOUR","USTR","N",1
"USTR4266","MAHER","USTR","N",1
"USTR4294","EPPERSON","USTR","N",1
"USTR4305","OEAMGMT","USTR","N",1
"USTR4306","OEAUNION","USTR","N",1
"USTR4327","HITMETAL","USTR","N",1
"USTR4372","IRONHS","USTR","N",1
"USTR4405","SUNLIFE","USTR","N",1
"USTR4412","MERCY","USTR","N",1
"USTR4419","IDAHOE","USTR","N",1
"USTR4429","ESCPEN","USTR","N",1
"USTR4430","ESCWEL","USTR","N",1
"USTR10001","ONEAL","USTR","N",1
"USTR10002","SILICA","USTR","N",1
"USTR10004","KNOLL","USTR","N",1
"USTR10006","SPU","USTR","N",1
"USTR11000","TIFT","USTR","N",1
"USTR100960","PWHY","USTR","N",1
"USTR107190","SANOPPS","USTR","N",1
"USTR107449","ADCARE","USTR","N",1
"USTR109433","RLHY","USTR","N",1
"USTR109553","HUHTX","USTR","N",1
"USTR109670","AGMEN","USTR","N",1
"USTR111505","SCFMS","USTR","N",1
"USTR111970","WORTH","USTR","N",1
"USTR113705","NBDHOUR","USTR","N",1
"USTR117075","PAINTHB","USTR","N",1
"USTR117383","CBIS","USTR","N",1
"USTR117740","SLGIPLUS","USTR","N",1
"USTR117889","GTSAL","USTR","N",1
"USTR118454","VMC","USTR","N",1
"USTR118704","ADSHORT","USTR","N",1
"USTR119230","WILLIAMS","USTR","N",1
"USTR119248","CWROLLED","USTR","N",1
"USTR124648","STJCAP","USTR","N",1
"USTR125587","OXBOW","USTR","N",1
"USTR126261","FOURTHED","USTR","N",1
"USTR126950","LOWSAND","USTR","N",1
"USTR126967","ICONF","USTR","N",1
"USTR127450","PABSHORT","USTR","N",1
"USTR129577","ISONEW","USTR","N",1
"USTR130625","STJOSEPH","USTR","N",1
"USTR130951","ENGLWOOD","USTR","N",1
"USTR131606","KEYSAL","USTR","N",1
"USTR132672","SVDT","USTR","N",1
"USTR132835","PILKHOUR","USTR","N",1
"USTR132853","SJMEDPEN","USTR","N",1
"USTR134322","SDOPPS","USTR","N",1
"USTR137996","SLUKE","USTR","N",1
"USTR138014","LOCPEN","USTR","N",1
"USTR140702","GROCERS","USTR","N",1
"USTR140989","PILKSAL","USTR","N",1
"USTR141082","LONZA","USTR","N",1
"USTR141116","POWVEBA","USTR","N",1
"USTR142736","SONSHORT","USTR","N",1
"USTR143502","STAMFORD","USTR","N",1
"USTR143952","LAWPEN","USTR","N",1
"USTR144831","SLCLC","USTR","N",1
"USTR145021","GEAP","USTR","N",1
"USTR146479","MGNITE","USTR","N",1
"USTR150269","MACWAG","USTR","N",1
"USTR151582","SHOPMENS","USTR","N",1
"USTR153582","SIT-TIPS","USTR","N",1
"USTR153960","NAGEL","USTR","N",1
"USTR153969","PUHY","USTR","N",1
"USTR155107","LAWSERP","USTR","N",1
"USTR156068","NBDSAL","USTR","N",1
"USTR157992","PANSHORT","USTR","N",1
"USTR158692","SLGI","USTR","N",1
"USTR160933","KNOBU","USTR","N",1
"USTR163754","SITFO","USTR","N",1
"USTR164442","AOC","USTR","N",1
"USTR165267","UVMED","USTR","N",1
"USTR165715","IOOF","USTR","N",1
"USTR167836","UVCHAMP","USTR","N",1
"USTR168832","UAMPEN","USTR","N",1
"USTR170000","GONNELLA","USTR","N",1
"USTR170539","SHARP","USTR","N",1
"USTR170869","HIERS","USTR","N",1
"USTR173634","GMASON","USTR","N",1
"USTR175501","KEYHOUR","USTR","N",1
"USTR175835","IDBF","USTR","N",1
"USTR175895","HI-TIPS","USTR","N",1
"USTR176020","SLAGGDRP","USTR","N",1
"USTR177901","CLOPAY","USTR","N",1
"USTR179779","GTSERV","USTR","N",1
"USTR180578","HENPEN","USTR","N",1
"USTR183226","HUHT","USTR","N",1
"USTR184737","MACOPPS","USTR","N",1
"USTR185833","PAINTPEN","USTR","N",1
"USTR186500","MCLANE","USTR","N",1
"USTR186734","DELTA","USTR","N",1
"USTR187032","GTUNION","USTR","N",1
"USTR187783","INPO","USTR","N",1
"USTR189043","SLTSYDRP","USTR","N",1
"USTR193244","BCH-ES","USTR","N",1
"USTR194424","NUGGET","USTR","N",1
"USTR194767","PAINTANN","USTR","N",1
"USTR194857","SIGBURG","USTR","N",1
"USTR194888","SDCERA","USTR","N",1
"USTR196107","CWF","USTR","N",1
"USTR196617","USAVBA","USTR","N",1
"USTR197083","WAYNE","USTR","N",1
"USTR197597","IGEN","USTR","N",1
