ProductID, EntityId, LineofBusinessCode, AdhocFlag, SortOrder, 
"USTR20", "10", "USTR", "N", 1, 
"USTR64", "11", "USTR", "N", 1, 
"USTR69", "12", "USTR", "N", 1, 
"USTR70", "13", "USTR", "N", 1, 
"USTR72", "9", "USTR", "N", 1, 
"USTR76", "8", "USTR", "N", 1, 
"USTR81", "6", "USTR", "N", 1, 
"USTR89", "14", "USTR", "N", 1, 
"USTR95", "5", "USTR", "N", 1, 
"USTR205", "15", "USTR", "N", 1, 
"USTR303", "16", "USTR", "N", 1, 
"USTR346", "17", "USTR", "N", 1, 
"USTR402", "18", "USTR", "N", 1, 
"USTR415", "19", "USTR", "N", 1, 
"USTR416", "20", "USTR", "N", 1, 
"USTR486", "21", "USTR", "N", 1, 
"USTR683", "22", "USTR", "N", 1, 
"USTR765", "23", "USTR", "N", 1, 
"USTR855", "24", "USTR", "N", 1, 
"USTR908", "25", "USTR", "N", 1, 
"USTR941", "253", "USTR", "N", 1, 
"USTR953", "254", "USTR", "N", 1, 
"USTR958", "262", "USTR", "N", 1, 
"USTR999", "26", "USTR", "N", 1, 
"USTR1025", "27", "USTR", "N", 1, 
"USTR1055", "28", "USTR", "N", 1, 
"USTR1224", "299", "USTR", "N", 1, 
"USTR1294", "32", "USTR", "N", 1, 
"USTR1410", "33", "USTR", "N", 1, 
"USTR1549", "35", "USTR", "N", 1, 
"USTR1590", "36", "USTR", "N", 1, 
"USTR1617", "37", "USTR", "N", 1, 
"USTR1708", "40", "USTR", "N", 1, 
"USTR1709", "38", "USTR", "N", 1, 
"USTR1710", "39", "USTR", "N", 1, 
"USTR1717", "41", "USTR", "N", 1, 
"USTR1728", "42", "USTR", "N", 1, 
"USTR2071", "44", "USTR", "N", 1, 
"USTR2139", "46", "USTR", "N", 1, 
"USTR2152", "47", "USTR", "N", 1, 
"USTR2157", "49", "USTR", "N", 1, 
"USTR2179", "50", "USTR", "N", 1, 
"USTR2180", "52", "USTR", "N", 1, 
"USTR2181", "53", "USTR", "N", 1, 
"USTR2183", "51", "USTR", "N", 1, 
"USTR2243", "55", "USTR", "N", 1, 
"USTR2245", "54", "USTR", "N", 1, 
"USTR2249", "56", "USTR", "N", 1, 
"USTR2293", "259", "USTR", "N", 1, 
"USTR2309", "57", "USTR", "N", 1, 
"USTR2319", "58", "USTR", "N", 1, 
"USTR2393", "59", "USTR", "N", 1, 
"USTR2435", "255", "USTR", "N", 1, 
"USTR2437", "260", "USTR", "N", 1, 
"USTR2517", "62", "USTR", "N", 1, 
"USTR2543", "64", "USTR", "N", 1, 
"USTR2616", "66", "USTR", "N", 1, 
"USTR2628", "67", "USTR", "N", 1, 
"USTR2693", "68", "USTR", "N", 1, 
"USTR2764", "70", "USTR", "N", 1, 
"USTR2767", "71", "USTR", "N", 1, 
"USTR2855", "75", "USTR", "N", 1, 
"USTR2892", "79", "USTR", "N", 1, 
"USTR2897", "273", "USTR", "N", 1, 
"USTR2911", "80", "USTR", "N", 1, 
"USTR2912", "151", "USTR", "N", 1, 
"USTR2922", "74", "USTR", "N", 1, 
"USTR2941", "149", "USTR", "N", 1, 
"USTR2991", "261", "USTR", "N", 1, 
"USTR2995", "82", "USTR", "N", 1, 
"USTR3010", "83", "USTR", "N", 1, 
"USTR3048", "288", "USTR", "N", 1, 
"USTR3083", "84", "USTR", "N", 1, 
"USTR3093", "85", "USTR", "N", 1, 
"USTR3165", "86", "USTR", "N", 1, 
"USTR3218", "204", "USTR", "N", 1, 
"USTR3219", "87", "USTR", "N", 1, 
"USTR3230", "89", "USTR", "N", 1, 
"USTR3248", "91", "USTR", "N", 1, 
"USTR3255", "215", "USTR", "N", 1, 
"USTR3281", "94", "USTR", "N", 1, 
"USTR3327", "95", "USTR", "N", 1, 
"USTR3329", "206", "USTR", "N", 1, 
"USTR3366", "98", "USTR", "N", 1, 
"USTR3369", "99", "USTR", "N", 1, 
"USTR3434", "205", "USTR", "N", 1, 
"USTR3602", "103", "USTR", "N", 1, 
"USTR3618", "104", "USTR", "N", 1, 
"USTR3699", "105", "USTR", "N", 1, 
"USTR3716", "106", "USTR", "N", 1, 
"USTR3717", "107", "USTR", "N", 1, 
"USTR3742", "109", "USTR", "N", 1, 
"USTR3745", "110", "USTR", "N", 1, 
"USTR3773", "111", "USTR", "N", 1, 
"USTR3774", "112", "USTR", "N", 1, 
"USTR3841", "114", "USTR", "N", 1, 
"USTR3845", "115", "USTR", "N", 1, 
"USTR3865", "116", "USTR", "N", 1, 
"USTR3871", "117", "USTR", "N", 1, 
"USTR3906", "119", "USTR", "N", 1, 
"USTR3908", "120", "USTR", "N", 1, 
"USTR3911", "121", "USTR", "N", 1, 
"USTR3915", "118", "USTR", "N", 1, 
"USTR3919", "297", "USTR", "N", 1, 
"USTR3920", "174", "USTR", "N", 1, 
"USTR4048", "126", "USTR", "N", 1, 
"USTR4049", "127", "USTR", "N", 1, 
"USTR4079", "128", "USTR", "N", 1, 
"USTR4084", "130", "USTR", "N", 1, 
"USTR4089", "131", "USTR", "N", 1, 
"USTR4090", "132", "USTR", "N", 1, 
"USTR4091", "133", "USTR", "N", 1, 
"USTR4115", "134", "USTR", "N", 1, 
"USTR4142", "135", "USTR", "N", 1, 
"USTR4264", "142", "USTR", "N", 1, 
"USTR4265", "141", "USTR", "N", 1, 
"USTR4266", "143", "USTR", "N", 1, 
"USTR4294", "144", "USTR", "N", 1, 
"USTR4305", "146", "USTR", "N", 1, 
"USTR4306", "145", "USTR", "N", 1, 
"USTR4327", "147", "USTR", "N", 1, 
"USTR4372", "159", "USTR", "N", 1, 
"USTR4405", "155", "USTR", "N", 1, 
"USTR4408", "164", "USTR", "N", 1, 
"USTR4412", "161", "USTR", "N", 1, 
"USTR4419", "158", "USTR", "N", 1, 
"USTR4429", "156", "USTR", "N", 1, 
"USTR4430", "157", "USTR", "N", 1, 
"USTR10001", "136", "USTR", "N", 1, 
"USTR10002", "138", "USTR", "N", 1, 
"USTR10003", "154", "USTR", "N", 1, 
"USTR10004", "160", "USTR", "N", 1, 
"USTR10005", "162", "USTR", "N", 1, 
"USTR10006", "163", "USTR", "N", 1, 
"USTR11000", "137", "USTR", "N", 1, 
"USTR100960", "201", "USTR", "N", 1, 
"USTR107190", "287", "USTR", "N", 1, 
"USTR107449", "167", "USTR", "N", 1, 
"USTR109195", "289", "USTR", "N", 1, 
"USTR109433", "218", "USTR", "N", 1, 
"USTR109553", "225", "USTR", "N", 1, 
"USTR109670", "267", "USTR", "N", 1, 
"USTR111505", "247", "USTR", "N", 1, 
"USTR111970", "251", "USTR", "N", 1, 
"USTR113705", "199", "USTR", "N", 1, 
"USTR114638", "270", "USTR", "N", 1, 
"USTR117075", "192", "USTR", "N", 1, 
"USTR117383", "246", "USTR", "N", 1, 
"USTR117740", "296", "USTR", "N", 1, 
"USTR118454", "214", "USTR", "N", 1, 
"USTR118704", "184", "USTR", "N", 1, 
"USTR119230", "242", "USTR", "N", 1, 
"USTR119954", "264", "USTR", "N", 1, 
"USTR124648", "221", "USTR", "N", 1, 
"USTR125580", "241", "USTR", "N", 1, 
"USTR125587", "229", "USTR", "N", 1, 
"USTR126261", "222", "USTR", "N", 1, 
"USTR126950", "272", "USTR", "N", 1, 
"USTR126967", "231", "USTR", "N", 1, 
"USTR127319", "295", "USTR", "N", 1, 
"USTR127450", "237", "USTR", "N", 1, 
"USTR129577", "171", "USTR", "N", 1, 
"USTR130625", "195", "USTR", "N", 1, 
"USTR131991", "197", "USTR", "N", 1, 
"USTR132672", "248", "USTR", "N", 1, 
"USTR132835", "202", "USTR", "N", 1, 
"USTR132853", "294", "USTR", "N", 1, 
"USTR133423", "256", "USTR", "N", 1, 
"USTR134322", "280", "USTR", "N", 1, 
"USTR135460", "220", "USTR", "N", 1, 
"USTR137996", "226", "USTR", "N", 1, 
"USTR138014", "271", "USTR", "N", 1, 
"USTR140702", "170", "USTR", "N", 1, 
"USTR140989", "203", "USTR", "N", 1, 
"USTR141082", "279", "USTR", "N", 1, 
"USTR141116", "216", "USTR", "N", 1, 
"USTR142736", "239", "USTR", "N", 1, 
"USTR143106", "168", "USTR", "N", 1, 
"USTR143755", "285", "USTR", "N", 1, 
"USTR143952", "291", "USTR", "N", 1, 
"USTR144831", "277", "USTR", "N", 1, 
"USTR145021", "274", "USTR", "N", 1, 
"USTR146479", "196", "USTR", "N", 1, 
"USTR147439", "281", "USTR", "N", 1, 
"USTR149976", "177", "USTR", "N", 1, 
"USTR153960", "223", "USTR", "N", 1, 
"USTR153969", "200", "USTR", "N", 1, 
"USTR155107", "292", "USTR", "N", 1, 
"USTR156065", "298", "USTR", "N", 1, 
"USTR156068", "198", "USTR", "N", 1, 
"USTR157992", "238", "USTR", "N", 1, 
"USTR158521", "278", "USTR", "N", 1, 
"USTR158590", "252", "USTR", "N", 1, 
"USTR158692", "194", "USTR", "N", 1, 
"USTR160933", "185", "USTR", "N", 1, 
"USTR163754", "257", "USTR", "N", 1, 
"USTR164442", "275", "USTR", "N", 1, 
"USTR164848", "236", "USTR", "N", 1, 
"USTR165267", "212", "USTR", "N", 1, 
"USTR165304", "276", "USTR", "N", 1, 
"USTR165715", "233", "USTR", "N", 1, 
"USTR167836", "213", "USTR", "N", 1, 
"USTR168325", "282", "USTR", "N", 1, 
"USTR170000", "283", "USTR", "N", 1, 
"USTR170539", "139", "USTR", "N", 1, 
"USTR170842", "263", "USTR", "N", 1, 
"USTR170869", "186", "USTR", "N", 1, 
"USTR173634", "181", "USTR", "N", 1, 
"USTR174934", "240", "USTR", "N", 1, 
"USTR175262", "165", "USTR", "N", 1, 
"USTR175835", "232", "USTR", "N", 1, 
"USTR175895", "286", "USTR", "N", 1, 
"USTR176020", "208", "USTR", "N", 1, 
"USTR177901", "230", "USTR", "N", 1, 
"USTR183226", "178", "USTR", "N", 1, 
"USTR185833", "193", "USTR", "N", 1, 
"USTR186734", "250", "USTR", "N", 1, 
"USTR187783", "293", "USTR", "N", 1, 
"USTR189043", "209", "USTR", "N", 1, 
"USTR191654", "228", "USTR", "N", 1, 
"USTR193244", "182", "USTR", "N", 1, 
"USTR194424", "219", "USTR", "N", 1, 
"USTR194767", "191", "USTR", "N", 1, 
"USTR194857", "269", "USTR", "N", 1, 
"USTR194888", "183", "USTR", "N", 1, 
"USTR196107", "265", "USTR", "N", 1, 
"USTR196617", "258", "USTR", "N", 1, 
"USTR197083", "217", "USTR", "N", 1, 
"USTR197597", "234", "USTR", "N", 1, 
"USTR199595", "235", "USTR", "N", 1, 
"USTR199706", "179", "USTR", "N", 1, 
